family,threatened,naturalized,invasive,species,vetted,hybrids,animal,asexual,climate.sum,herbaceous,fleshy.fruit,annual,Age (Ma),Range size (km2 x 106)
Commelinaceae,7,49,17,728,34,3,1,0,2,1,0.5,1,66.01,62.489
Connaraceae,7,0,0,267,10,0,1,0,1,0,0,0,63.16,35.755
Convolvulaceae,19,151,67,1296,47,14,1,0,3,0.5,0.5,1,61.88,114.556
Coriariaceae,0,1,1,16,1,2,1,0,3,0,0,0,60.76,9.209
Cornaceae,6,10,11,124,26,9,1,0,3,0.5,0.5,0,96.33,72.43
Corsiaceae,0,0,0,27,0,0,1,0,2,1,0,0,103.92,1.957
Corynocarpaceae,0,1,1,5,0,0,1,0,2,0,1,0,60.76,1.276
Costaceae,6,7,3,139,20,0,1,0,1,1,0.5,0,66.49,33.975
Crassulaceae,12,120,31,1482,32,169,1,0,4,1,0,1,81.69,88.107
Crossosomataceae,0,0,0,8,0,0,1,0,2,0,0,0,31.89,3.476
Ctenolophonaceae,0,0,0,2,0,0,1,0,1.870568191,0,1,0,64.95,4.19
Cucurbitaceae,6,50,28,965,8,4,1,1,3,1,0.5,1,48.1,92.99
Cunoniaceae,51,1,0,245,118,3,1,0,3,0,0.5,0,53.15,25.951
Curtisiaceae,0,0,0,1,0,0,1,0,2,0,1,0,96.33,0.889
Cyclanthaceae,17,1,1,231,24,0,1,0,2,0.5,1,0,67.17,10.162
Cymodoceaceae,0,1,0,16,13,0,0,0,2,1,0.5,0,,
Cynomoriaceae,0,0,0,1,0,0,1,0,2,1,0,0,72,2.54
Cyperaceae,98,340,73,5784,658,317,0,0,4,1,0,1,44,131.486
Cyrillaceae,0,1,0,8,0,0,1,1,2,0,0.5,0,76.81,6.307
Cytinaceae,0,0,0,11,0,0,1,0,3,1,1,0,67.47,5.423
Daphniphyllaceae,0,0,1,34,3,0,1,0,3,0,1,0,87.83,8.64
Dasypogonaceae,0,0,0,16,0,0,1,0,1,1,0,0,106.87,0.588
Datiscaceae,0,0,0,2,0,0,0,0,3,1,0,0,53.93,15.96
Degeneriaceae,0,0,0,2,0,0,1,0,1,0,0,0,80.44,0.017
Diapensiaceae,0,2,0,12,0,1,1,0,2,1,0,0,60.78,18.882
Dichapetalaceae,19,0,0,196,31,0,1,0,2,0,0.5,0,63.03,31.327
Didiereaceae,0,1,0,22,1,0,1,0,1,0,0,0,28.06,1.218
Dilleniaceae,17,2,1,219,38,0,1,0,3,0,0,0,114.5,47.819
Dioncophyllaceae,0,0,0,3,0,0,1,0,1,0,0,0,47.25,1.887
Dioscoreaceae,23,12,5,653,61,2,1,1,3,1,0.5,0,100.71,51.407
Dipentodontaceae,1,0,0,21,4,0,1,0,2,0,0,0,92.72,2.041
Dipterocarpaceae,376,0,0,147,405,0,1,1,1,0,0,0,67.47,19.384
Dirachmaceae,2,0,0,2,2,0,1,0,1,0,0,0,54.97,0.112
Doryanthaceae,0,1,0,2,0,0,1,0,2,1,0,0,74.94,0.221
Droseraceae,9,10,1,189,133,10,1,0,4,1,0,1,66.52,94.916
Drosophyllaceae,0,0,0,1,0,0,1,0,1,1,0,0,64.26,0.196
Ebenaceae,81,10,3,751,186,0,1,0,3,0,0.5,0,88.36,58.311
Ecdeiocoleaceae,0,0,0,3,0,0,0,0,2,1,0,0,40.95,0.529
Elaeagnaceae,2,8,6,108,7,5,1,0,3,0,0,0,64.04,50.128
Elaeocarpaceae,40,3,2,644,51,1,1,0,3,0,0.5,0,53.15,26.982
Elatinaceae,1,7,2,57,15,0,1,0,3,1,0,1,57.38,111.711
Emblingiaceae,0,0,0,1,0,0,1,0,2,1,0,0,43.45,0.152
Ericaceae,26,70,13,3554,80,195,1,0,4,0,0.5,0,76.81,131.509
Eriocaulaceae,32,7,0,1206,94,1,0,0,3,1,0,1,65.19,53.374
Erythroxylaceae,9,2,0,267,10,1,1,1,2,0,1,0,76.37,42.071
Escalloniaceae,8,3,0,55,13,12,1,0,3,0,0.5,0,79.13,12.923
Eucommiaceae,1,1,0,1,1,0,0,0,1,0,0,0,89.59,2.177
Euphorbiaceae,320,196,79,6547,496,61,1,1,3,0.5,0.5,1,57.38,122.052
Euphroniaceae,0,0,0,4,0,0,1,0,1,0,0,0,63.03,0.335
Eupomatiaceae,0,0,0,3,0,0,1,0,3,0,1,0,78.89,0.945
Eupteleaceae,0,0,0,2,0,0,0,0,1,0,0,0,118.9,2.523
Fabaceae,887,1113,449,24505,2154,169,1,1,4,0.5,0.5,1,63.8,131.344
Fagaceae,70,32,11,1101,275,216,0,0,3,0,0,0,63.81,55.403
Flagellariaceae,0,0,0,4,0,0,0,0,2,0.5,1,0,74.31,22.902
Fouquieriaceae,8,0,0,12,10,0,1,0,1,0,0,0,75.74,1.651
Frankeniaceae,1,3,1,73,1,3,1,0,2,1,0,1,44.79,13.901
Garryaceae,0,1,1,25,1,1,0,0,1,0,0.5,0,89.59,5.129
Geissolomataceae,0,0,0,1,0,0,1,0,2,0,0,0,72.25,0.074
Gelsemiaceae,0,1,0,13,0,0,1,0,2,0,0,0,64.18,21.076
Gentianaceae,57,39,8,1682,104,45,1,0,4,1,0.5,1,61.45,116.677
Geraniaceae,18,83,21,841,22,653,1,0,4,1,0,1,103.86,90.398
Gerrardinaceae,0,0,0,2,0,0,1,0,2,0,0.5,0,92.72,0.084
Gesneriaceae,142,6,3,3122,184,121,1,0,3,1,0.5,0,57.11,40.244
Gisekiaceae,0,1,0,7,0,0,1,0,2,1,0,1,30.64,27.375
Gomortegaceae,1,0,0,1,1,0,1,0,1,0,1,0,97.44,0.111
Goodeniaceae,4,2,1,329,6,1,1,0,3,0.5,0.5,1,42.31,15.77
Goupiaceae,0,0,0,2,0,0,1,0,1,0,1,0,58.68,1.093
Grossulariaceae,4,17,5,195,6,34,1,1,3,0,1,0,76.6,0.99
Grubbiaceae,0,0,0,3,0,0,1,0,2,0,0,0,70.85,51.767
Guamatelaceae,0,0,0,1,0,0,1,0,1,0,0,0,96.33,0.166
Gunneraceae,1,3,1,69,2,1,1,0,3,1,0.5,0,119.56,6.877
Gyrostemonaceae,0,0,0,17,0,0,1,0,3,0,0.5,0,50.5,6.431
Haemodoraceae,0,4,1,101,1,0,1,0,3,1,0,0,77.85,20.404
Halophytaceae,0,0,0,1,0,0,1,0,1,1,1,1,28.06,0.214
Haloragaceae,3,15,4,92,21,0,1,0,3,1,0,0,64.67,103.778
Hamamelidaceae,9,3,0,99,12,3,0,0,3,0,0,0,101.63,34.268
Hanguanaceae,0,0,1,10,1,0,1,0,1,1,1,0,90.95,3.17
Haptanthaceae,0,0,0,1,0,0,1,0,1,0,0,0,124.39,0.043
Heliconiaceae,15,6,1,204,17,4,1,0,1,1,1,0,66.49,16.256
Helwingiaceae,0,0,0,4,0,0,1,0,1,0,1,0,77.03,2.757
Hernandiaceae,8,0,0,51,13,0,1,0,2,0,0,0,116.67,31.517
Himantandraceae,0,0,0,1,0,0,1,0,1,0,1,0,80.44,1.168
Huaceae,1,0,0,4,1,0,1,0,1,0,0,0,86.27,3.762
Humiriaceae,5,0,0,63,6,0,1,0,1,0,1,0,70.89,17.484
Hydatellaceae,0,0,0,12,0,0,0,0.5,2,1,0,1,65.19,1.08
Hydnoraceae,0,0,0,10,0,0,1,0,2,1,1,0,120.18,14.579
Hydrangeaceae,4,21,8,237,6,21,1,0,2,0.5,0.5,0,78.39,23.023
Hydrocharitaceae,6,29,15,133,64,0,1,0,3,1,0.5,1,70.23,109.97
Hydroleaceae,0,4,1,11,1,0,1,0,2.010682353,1,0,0,56.65,43.97
Hydrostachyaceae,9,0,0,19,16,0,1,0,3,1,0,0,96.33,8.379
Hypericaceae,15,51,12,584,40,19,1,1,3,0.5,0.5,0,44.06,72.696
Hypoxidaceae,2,4,2,154,4,0,1,0,3,1,0.5,0,74.83,56.073
Icacinaceae,5,1,0,212,5,0,1,0,2,0,0.5,0,98.57,39.437
Iridaceae,50,176,37,2315,122,87,1,0,3,1,0,1,78.09,73.134
Irvingiaceae,0,0,0,11,0,0,1,0,1,0,0.5,0,73.59,9.185
Iteaceae,0,0,0,19,0,0,1,0,3,0,0,0,70.85,13.788
Ixioliriaceae,0,0,0,4,0,0,1,0,2,1,0,0,74.94,3.218
Ixonanthaceae,2,0,0,20,4,0,1,0,1,0,0,0,76.73,22.309
Joinvilleaceae,0,0,0,4,0,0,0,0,1,1,1,0,44.08,0.374
Juglandaceae,13,17,7,89,37,18,0,1,3,0,0.5,0,51.01,46.13
Juncaceae,6,78,17,506,65,43,0,0,2,1,0,1,44,104.081
Juncaginaceae,0,4,0,35,4,0,0,0,3,1,0,1,60.7,68.546
Kirkiaceae,0,0,0,5,0,0,1,0,2,0,0,0,55.64,3.802
Koeberliniaceae,0,0,0,2,0,0,1,0,3,0,1,0,55.21,0.654
Krameriaceae,0,0,0,25,0,0,1,0,3,1,0,0,94.24,10.788
Lacistemataceae,0,0,0,13,0,0,1,0,2,0,0,0,58.04,14.138
Lactoridaceae,0,0,0,1,0,0,1,0,1,0,0,0,120.18,0
Lamiaceae,163,358,98,7886,281,524,1,0,4,0.5,0.5,1,39.73,127.702
Lanariaceae,0,0,0,1,0,0,1,0,1,1,0,0,74.83,0.129
