family,threatened,naturalized,invasive,species,vetted,hybrids,animal,asexual,climate.sum,herbaceous,fleshy.fruit,annual,Age (Ma),Range size (km2 x 106)
Sarcolaenaceae,16,0,0,69,27,0,1,0,1,0,0,0,67.47,0.529
Sarraceniaceae,2,5,1,32,7,36,1,0,3,1,0,0,72.92,5.559
Saururaceae,0,3,3,7,1,0,1,1,3,1,0.5,0,80.45,14.126
Saxifragaceae,7,24,4,775,21,243,1,0,2,1,0,1,70.85,66.628
Scheuchzeriaceae,0,0,0,1,0,0,0,0,2,1,0,0,102.77,16.246
Schisandraceae,6,1,0,73,6,0,1,0,3,0,1,0,135.41,11.522
Schlegeliaceae,1,0,0,43,3,0,1,0,2,0,0,0,42.63,5.774
Schoepfiaceae,2,0,0,51,3,0,1,0,3,1,1,0,75,15.06
Scrophulariaceae,77,73,22,1576,208,303,1,0,4,0.5,0.5,1,57.11,125.339
Setchellanthaceae,0,0,0,1,0,0,1,0,1,0,0,0,66.56,0.061
Simaroubaceae,8,3,2,121,11,0,1,0,2,0,0.5,0,49.35,60.312
Simmondsiaceae,0,0,0,2,0,0,1,0,1,0,0,0,69.55,0.939
Siparunaceae,7,0,0,61,8,0,1,0,1,0,1,0,109.46,15.754
Sladeniaceae,0,0,0,3,0,0,1,0,2,0,0,0,84.16,1.875
Smilacaceae,0,5,2,261,0,0,1,1,3,0.5,1,0,63.33,88.921
Solanaceae,74,248,109,2678,138,27,1,1,3,0.5,0.5,1,61.88,113.206
Sphaerosepalaceae,7,0,0,20,13,0,1,0,1,0,0,0,65.83,0.59
Sphenocleaceae,0,1,1,2,0,0,1,0,1,1,0,1,56.65,51.861
Stachyuraceae,0,0,0,7,0,0,1,0,3,0,1,0,31.89,3.326
Staphyleaceae,1,1,0,30,4,0,1,0,3,0,0.5,0,42.74,26.158
Stegnospermataceae,0,0,0,5,0,0,1,0,2,0,0,0,33.68,0.717
Stemonaceae,0,0,0,36,0,0,1,0,2,1,0,0,92.6,4.983
Stemonuraceae,4,0,0,71,8,0,1,0,2,0,0,0,90.15,26.728
Stilbaceae,0,1,0,38,1,0,1,0,2,0,0,0,57.11,0.15
Strasburgeriaceae,0,0,0,2,0,0,1,0,1,0,0.5,0,37.45,0.114
Strelitziaceae,0,3,1,7,0,1,1,0,2,0.5,0,0,65.83,12.079
Stylidiaceae,0,0,0,31,0,0,1,0,3,1,0.5,0,64.8,14.999
Styracaceae,17,4,0,133,22,0,1,0,3,0,0.5,0,60.78,27.418
Surianaceae,1,0,0,6,2,0,1,0,2,0,1,0,63.8,10.107
Symplocaceae,39,2,0,210,47,0,1,1,2,0,1,0,82.17,30.415
Talinaceae,0,2,2,28,0,0,1,0,3,1,0,0,100.71,21.751
Tamaricaceae,1,13,7,79,17,0,1,0,2,0,0,0,44.79,43.04
Tapisciaceae,2,0,0,6,2,0,1,0,2,0,0.5,0,92.72,4.901
Tecophilaeaceae,1,1,0,26,2,0,1,1,3,1,0,0,84.76,5.418
Tetrachondraceae,0,1,1,3,0,0,1,0,1,1,0,0,64.08,4.156
Tetramelaceae,0,0,0,1,0,0,1,0,1,0,0,0,56.99,6.17
Tetrameristaceae,0,0,0,2,0,0,1,0,1,0,1,0,65.43,2.197
Theaceae,90,3,4,370,183,7,1,0,2,0,0.5,0,82.17,42.278
Thomandersiaceae,0,0,0,1,0,0,1,0,1.034807478,0,1,0,39.73,2.337
Thurniaceae,0,0,0,4,0,0,0,0,1,1,0,0,57.2,1.733
Thymelaeaceae,49,12,3,938,71,49,1,1,3,0.5,0.5,1,72.42,92.822
Ticodendraceae,1,0,0,1,1,0,0,0,1,0,1,0,47.96,0.93
Tofieldiaceae,0,1,0,29,0,1,1,0,2,1,0,0,122.32,30.028
Torricelliaceae,4,0,0,8,7,0,1,0,1,0,0,0,63.3,0.711
Tovariaceae,0,0,0,2,0,0,1,0,2,1,1,1,49.16,8.253
Trigoniaceae,0,0,0,32,0,0,1,0,1,0,0.5,0,63.03,13.244
Trimeniaceae,0,0,0,1,0,0,1,0,2,0,1,0,135.41,0.966
Triuridaceae,2,0,0,54,2,0,1,0,1,1,0,1,111.58,10.513
Trochodendraceae,0,0,0,2,0,0,1,0,2,0,0,0,124.39,1.661
Tropaeolaceae,8,5,1,89,8,8,1,1,3,1,0.5,1,55.89,6.185
Typhaceae,0,11,5,65,21,15,0,0,3,1,0,0,83.56,98.56
Ulmaceae,10,10,6,64,19,9,1,0,3,0,0.5,0,52.39,86.658
Urticaceae,33,46,19,1465,59,10,0,1,3,0.5,0.5,1,25.23,125.917
Vahliaceae,0,0,0,5,0,0,1,0,3,1,0,1,85.47,30.952
Velloziaceae,1,0,0,278,3,1,1,0,2,1,0,0,92.6,20.016
Verbenaceae,19,66,30,1035,29,62,1,0,3,0.5,0.5,1,39.73,71.359
Violaceae,39,38,5,806,56,220,1,0,4,0.5,0.5,1,58.68,130.962
Vitaceae,4,35,21,985,12,5,1,0,3,0.5,1,0,112.35,98.683
Vivianiaceae,0,0,0,16,0,0,1,0,1,1,0,0,101.48,0.849
Vochysiaceae,4,0,0,215,4,0,1,0,1,0,0,0,77.97,16.263
Winteraceae,5,0,0,32,6,0,0,0,3,0,0.5,0,106.76,4.52
Xanthorrhoeaceae,0,32,11,1236,0,67,1,0,3,0.5,0,0,52.46,64.342
Xeronemataceae,0,0,0,2,0,0,1,0,2,1,0,0,72.38,0.024
Xyridaceae,11,4,0,387,31,1,1,0,2,1,0,1,65.19,42.821
Zingiberaceae,29,29,15,1587,134,7,1,0,2,1,0.5,0,66.49,41.815
Zosteraceae,6,2,0,23,19,0,0,0,4,1,0,0,,
Zygophyllaceae,8,11,7,211,12,1,1,1,3,0,0.5,1,94.24,102.581
