"318","Acanthopsis","Acanthopsis_disperma","Acanthaceae","disperma","Acanthaceae","Lamiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"325","Acanthostachys","Acanthostachys_strobilacea","Bromeliaceae","strobilacea","Bromeliaceae","Poales","Spermatophyta","Angiospermae","Mesangiospermae","Monocotyledoneae","Nartheciidae","Petrosaviidae","Commelinidae","","","","","","","","","","","","","","","","",""
"339","Acca","Acca_sellowiana","Myrtaceae","sellowiana","Myrtaceae","Myrtales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","Malvidae","","","","","","",""
"342","Acer","Acer_pensylvanicum","Sapindaceae","pensylvanicum","Sapindaceae","Sapindales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","Malvidae","","","","","","",""
"404","Aceratium","Aceratium_concinnum","Elaeocarpaceae","concinnum","Elaeocarpaceae","Oxalidales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","","Fabidae","","","","","",""
"409","Acharia","Acharia_tragodes","Achariaceae","tragodes","Achariaceae","Malpighiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","","Fabidae","","","","","",""
"410","Achatocarpus","Achatocarpus_praecox","Achatocarpaceae","praecox","Achatocarpaceae","Caryophyllales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","","","","","","","","","","","","",""
"432","Achimenes","Achimenes_cettoana","Gesneriaceae","cettoana","Gesneriaceae","Lamiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"434","Achlys","Achlys_triphylla","Berberidaceae","triphylla","Berberidaceae","Ranunculales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","","","","","","","","","","","","","","","",""
"435","Achnatherum","Achnatherum_parishii","Poaceae","parishii","Poaceae","Poales","Spermatophyta","Angiospermae","Mesangiospermae","Monocotyledoneae","Nartheciidae","Petrosaviidae","Commelinidae","","","","","","","","","","","","","","","","",""
"441","Achyranthes","Achyranthes_arborescens","Amaranthaceae","arborescens","Amaranthaceae","Caryophyllales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","","","","","","","","","","","","",""
"451","Achyrospermum","Achyrospermum_schimperi","Lamiaceae","schimperi","Lamiaceae","Lamiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"464","Acicarpha","Acicarpha_tribuloides","Calyceraceae","tribuloides","Calyceraceae","Asterales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"467","Acidonia","Acidonia_microcarpa","Proteaceae","microcarpa","Proteaceae","Proteales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","","","","","","","","","","","","","","","",""
"474","Acinodendron","Acinodendron_tetrandrum","Melastomataceae","tetrandrum","Melastomataceae","Myrtales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","Malvidae","","","","","","",""
"479","Acioa","Acioa_guianensis","Chrysobalanaceae","guianensis","Chrysobalanaceae","Malpighiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","","Fabidae","","","","","",""
"481","Aciphylla","Aciphylla_monroi","Apiaceae","monroi","Apiaceae","Apiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"484","Acis","Acis_trichophylla","Amaryllidaceae","trichophylla","Amaryllidaceae","Asparagales","Spermatophyta","Angiospermae","Mesangiospermae","Monocotyledoneae","Nartheciidae","Petrosaviidae","","","","","","","","","","","","","","","","","",""
"492","Acmadenia","Acmadenia_rupicola","Rutaceae","rupicola","Rutaceae","Sapindales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","Malvidae","","","","","","",""
